GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
Moonlighter,4.11,24.977,1.1,27.5,3.8,2019-12-16,4108,1000
Ring of Pain,5.65,9.858,0.5,70.0,3.8,2021-10-14,6609,1170
Star Wars Battlefront,3.16,277.795,0.7,70.0,3.8,2020-11-09,5348,1690
Killer Instinct,5.85,241.912,0.1,90.0,3.7,2020-10-21,28862,4935
Outriders,2.14,168.156,1.4,45.0,3.7,2021-03-31,2240,1045
My Friend Pedro,5.41,81.841,0.6,17.5,3.7,2021-11-18,5409,1000
MotoGP 20,2.5,8.324,5.7,45.0,3.7,2020-12-17,2499,1000
Need for Speed Hot Pursuit Remastered,4.15,65.439,1.9,32.5,3.7,2021-06-24,4152,1000
World War Z,4.07,148.401,0.7,175.0,3.7,2019-12-16,4068,1000
Sea of Thieves,9.38,344.597,0.0,1000.0,3.7,2019-12-18,35638,3800
Yakuza 3 Remastered,3.16,11.017,3.1,90.0,3.7,2021-01-28,3164,1000
My Time at Portia,3.3,44.112,2.3,90.0,3.7,2019-12-16,3303,1000
Brütal Legend,2.73,113.058,1.8,45.0,3.7,2020-10-08,2971,1090
Day of the Tentacle Remastered,1.4,33.225,40.1,2.5,3.7,2020-10-29,1401,1000
Omno,1.54,35.403,31.9,3.5,3.7,2021-07-15,1537,1000
Record of Lodoss War -Deedlit in Wonder Labyrinth-,3.23,18.573,4.1,9.0,3.7,2021-12-15,3231,1000
Zuma's Revenge!,1.68,32.855,3.7,17.5,3.7,2020-11-09,673,400
NHL 21,3.66,23.86,0.3,175.0,3.7,2021-04-12,3663,1000
Dicey Dungeons,4.12,11.235,1.9,45.0,3.7,2021-11-11,4122,1000
Battlefield V,2.56,180.707,1.8,45.0,3.7,2020-11-09,2560,1000
Supraland,2.91,34.917,5.3,22.5,3.7,2020-10-13,2914,1000
The Gunk,1.59,62.395,11.0,7.0,3.7,2021-12-15,1591,1000
Mighty Goose,2.06,13.423,11.6,5.5,3.7,2021-09-30,2061,1000
The Walking Dead: Michonne,1.04,71.357,84.7,1.5,3.7,2019-12-18,1038,1000
Viva Piñata: Trouble In Paradise,2.18,44.019,6.3,27.5,3.7,2019-12-16,2177,1000
GRID,3.07,23.287,0.6,250.0,3.7,2021-08-10,4034,1315
Crysis 3,2.92,116.583,0.8,22.5,3.7,2020-11-09,3644,1250
Battlefield Hardline,6.04,200.741,0.1,55.0,3.7,2020-11-09,11774,1950
Among Us,2.57,79.755,2.1,4.5,3.7,2021-12-14,2568,1000
FAR: Changing Tides,4.25,16.437,1.3,9.0,3.7,2022-03-13,4248,1000
Costume Quest 2,1.38,49.547,30.4,9.0,3.7,2019-12-16,1379,1000
Mirror's Edge Catalyst,3.09,101.423,2.6,27.5,3.7,2020-11-09,3093,1000
Myst,1.83,16.597,8.6,7.0,3.7,2021-08-26,1831,1000
ReCore,3.43,162.987,1.4,45.0,3.7,2019-12-16,5145,1500
The Ascent,2.84,111.762,2.3,22.5,3.7,2021-07-29,2843,1000
Curse of the Dead Gods,9.12,25.972,0.1,70.0,3.7,2021-08-05,9122,1000
"Yes, Your Grace",2.35,20.321,3.4,13.5,3.7,2020-12-01,2345,1000
Fight Night Champion,11.35,84.0,0.0,,3.6,2020-11-09,13053,1150
"Warhammer 40,000: Battlesector",3.36,10.781,2.1,22.5,3.6,2021-11-17,3358,1000
Flynn: Son of Crimson,2.36,16.188,12.6,7.0,3.6,2021-09-15,2357,1000
Battletoads,3.88,101.07,0.3,17.5,3.6,2020-08-20,3880,1000
Steep,4.99,90.919,0.3,32.5,3.6,2021-05-06,6983,1400
Sable,1.94,9.736,13.2,17.5,3.6,2021-09-23,1936,1000
Need for Speed Heat,3.01,123.299,2.4,32.5,3.6,2020-11-09,3011,1000
Subnautica: Below Zero,1.74,41.62,23.0,0.75,3.6,2021-09-23,1744,1000
Echo Generation,2.03,16.168,13.9,7.0,3.6,2021-10-21,2025,1000
Knockout City,3.88,52.268,0.8,70.0,3.6,2021-05-17,3882,1000
Young Souls,3.16,11.265,4.7,7.0,3.6,2022-03-10,3159,1000
Sea of Solitude,1.82,30.992,14.9,5.5,3.6,2020-11-09,1818,1000
Super Lucky's Tale,2.51,111.416,2.1,9.0,3.6,2020-09-01,5028,2000
Windjammers 2,6.16,10.064,0.3,22.5,3.6,2022-01-11,6159,1000
Gears of War: Judgment,2.8,221.067,1.1,55.0,3.6,2019-12-16,4198,1500
Undertale,2.2,53.348,13.0,4.5,3.6,2021-03-16,2205,1000
Full Throttle Remastered,1.27,36.596,46.5,2.5,3.6,2020-10-29,1272,1000
skate.,2.68,73.561,2.6,22.5,3.6,2021-08-05,2683,1000
Bejeweled 3,2.96,52.89,3.7,13.5,3.6,2020-11-09,593,200
Boyfriend Dungeon,1.72,12.31,10.8,7.0,3.6,2021-08-11,1716,1000
NHL 20,3.11,22.764,0.4,90.0,3.6,2020-11-09,3106,1000
DiRT Rally,6.24,50.243,0.5,70.0,3.6,2021-08-10,6241,1000
Gorogoa,1.68,31.296,10.0,1.5,3.6,2022-01-04,1684,1000
Tom Clancy's Rainbow Six Extraction,3.74,100.187,1.2,70.0,3.6,2022-01-16,3737,1000
RAGE 2,3.17,108.746,0.5,27.5,3.6,2019-12-16,4544,1435
Neoverse,3.79,3.635,2.0,55.0,3.6,2020-12-17,3788,1000
Broken Age,2.96,9.915,4.1,9.0,3.6,2021-12-15,2961,1000
Crackdown 3: Campaign,3.61,156.604,1.6,27.5,3.6,2019-12-17,6318,1750
Evil Genius 2: World Domination,8.2,31.909,0.1,135.0,3.6,2021-10-12,8198,1000
Donut County,1.3,104.448,48.4,1.5,3.6,2021-01-20,1302,1000
EA SPORTS UFC 3,5.07,87.677,0.1,110.0,3.6,2020-11-09,5066,1000
Worms W.M.D.,7.22,62.768,0.2,45.0,3.6,2019-12-16,7217,1000
Bridge Constructor Portal,2.32,31.372,1.7,17.5,3.6,2020-10-18,2717,1170
Tainted Grail: Conquest,3.49,8.876,2.0,27.5,3.6,2022-03-22,3492,1000
DOOM 64,1.42,55.971,39.2,1.5,3.6,2021-03-12,1418,1000
Astroneer,3.68,96.424,1.5,70.0,3.6,2019-12-16,3957,1075
Twelve Minutes,1.69,62.794,21.2,2.5,3.6,2021-08-17,1691,1000
Spelunky 2,12.46,27.71,0.2,90.0,3.6,2022-01-13,12463,1000
Viva Piñata,1.93,143.16,9.7,45.0,3.6,2019-12-16,1934,1000
Tell Me Why,1.37,72.734,12.5,2.5,3.6,2020-09-28,2060,1500
Subnautica,1.75,154.11,25.1,1.5,3.5,2019-12-16,1747,1000
Human Fall Flat,3.48,218.76,1.3,9.0,3.5,2018-12-13,7931,2280
Need for Speed Payback,2.89,99.911,1.4,45.0,3.5,2020-11-09,3614,1250
Contrast,1.4,27.602,37.8,3.5,3.5,2022-02-03,1396,1000
Dodgeball Academia,1.85,17.01,15.7,7.0,3.5,2021-08-05,1853,1000
MechWarrior 5: Mercenaries,3.07,11.667,1.6,70.0,3.5,2021-05-27,3074,1000
SSX,5.28,151.364,1.1,37.5,3.5,2020-11-09,5283,1000
Star Wars: Squadrons,8.52,78.201,0.2,70.0,3.5,2021-03-18,8520,1000
Last Stop,1.58,26.704,19.2,7.0,3.5,2021-07-22,1576,1000
Visage,3.81,36.716,3.1,11.0,3.5,2021-10-07,3807,1000
Back 4 Blood,4.11,191.301,0.2,175.0,3.5,2021-09-24,4604,1120
Moonglow Bay,3.05,4.06,2.9,45.0,3.5,2021-10-26,3050,1000
NBA 2K22,4.24,18.528,0.0,,3.5,2022-04-28,4241,1000
Aliens: Fireteam Elite,5.48,66.336,0.4,250.0,3.5,2021-12-14,5485,1000
Breathedge,4.92,23.6,0.7,27.5,3.5,2021-09-09,4923,1000
Bloodroots,2.79,25.183,5.2,7.0,3.5,2021-07-15,2787,1000
Aragami 2,3.93,49.711,2.7,22.5,3.5,2021-09-17,3930,1000
Killer Instinct 2 Classic,2.11,8.149,8.3,17.5,3.5,2019-12-18,2111,1000
